date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-10-13,2019,0,0,MIA,WSH,1342.61742771406,1359.31281136943,0.5690714562468242,16,17,0
2019-10-13,2019,0,0,ARI,ATL,1354.95215330701,1454.15111258556,0.4509420791938188,34,33,1
2019-10-13,2019,0,0,LAR,SF,1589.30936125736,1533.18058482426,0.6675829478785129,7,20,0
2019-10-13,2019,0,0,NYJ,DAL,1332.19837926584,1546.61845055939,0.29731196170918905,24,22,1
2019-10-13,2019,0,0,DEN,TEN,1432.36836938837,1512.74882017963,0.4778801995543884,16,0,1
2019-10-13,2019,0,0,LAC,PIT,1534.60702965115,1520.92219832717,0.6113395141842494,17,24,0
2019-10-14,2019,0,0,GB,DET,1534.51085965058,1511.94750474781,0.6234118414065575,23,22,1
2019-10-17,2019,0,0,DEN,KC,1462.16219715101,1600.66178722108,0.39577574756040773,6,30,0
2019-10-20,2019,0,0,WSH,SF,1367.37892158696,1570.46944845233,0.31111473384608784,0,9,0
2019-10-20,2019,0,0,DET,MIN,1506.92671925949,1588.2857424397,0.4764748557113154,30,42,0
2019-10-20,2019,0,0,ATL,LAR,1446.41936369678,1552.02049762929,0.44183480122716173,10,37,0
2019-10-20,2019,0,0,BUF,MIA,1511.85932959842,1334.55131749653,0.8013633266223047,31,21,1
2019-10-20,2019,0,0,GB,OAK,1539.5316451389,1453.69677700177,0.7043866965351835,42,24,1
2019-10-20,2019,0,0,IND,HOU,1564.98973349472,1570.11135724225,0.5853287557775594,30,23,1
2019-10-20,2019,0,0,NYG,ARI,1398.81659640797,1362.68390219579,0.6415657850598714,21,27,0
2019-10-20,2019,0,0,CIN,JAX,1343.34618655916,1445.83473713159,0.44625804199252067,17,27,0
2019-10-20,2019,0,0,TEN,LAC,1482.95499241699,1508.23906169051,0.5569081586211398,23,20,1
2019-10-20,2019,0,0,CHI,NO,1579.01793515007,1646.57247865687,0.49632378262164695,25,36,0
2019-10-20,2019,0,0,SEA,BAL,1594.32987659432,1566.73380451584,0.6301885637331487,16,30,0
2019-10-20,2019,0,0,DAL,PHI,1530.05377295819,1558.4303077123,0.5525110560087684,37,10,1
2019-10-21,2019,0,0,NYJ,NE,1348.76305686704,1710.55698925726,0.15336055377353527,0,33,0
2019-10-24,2019,0,0,MIN,WSH,1612.54800768542,1353.89775044928,0.8656556182848676,19,9,1
2019-10-27,2019,0,0,IND,DEN,1581.77847898618,1437.50684571658,0.7693535073599884,15,13,1
2019-10-27,2019,0,0,BUF,PHI,1520.4404083405,1529.09614090863,0.5803824729098152,13,31,0
2019-10-27,2019,1,0,LAR,CIN,1580.93260134316,1322.30316394391,0.8158966965779668,24,10,1
2019-10-27,2019,0,0,NO,ARI,1671.21023573167,1388.85558643502,0.8807481521184674,31,9,1
2019-10-27,2019,0,0,DET,NYG,1482.66445401377,1372.64491216874,0.7325293308830785,31,26,1
2019-10-27,2019,0,0,TEN,TB,1495.0222601273,1455.09282598453,0.6465760226468399,27,23,1
2019-10-27,2019,0,0,CHI,LAC,1554.38017807527,1496.1717939802,0.6702341941131316,16,17,0
2019-10-27,2019,0,0,JAX,NYJ,1466.87775974684,1339.23267383576,0.75193410134021,29,15,1
